Route,Departing_Port,Arriving_Port,Airline,Date,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month,lat0,long0,lat1,long1
Adelaide-Brisbane,Adelaide,Brisbane,Jetstar,Jan-21,30.0,30,0.0,28.0,29.0,2.0,1.0,37695,391,58.5,1622,61141290,104518436,64438,2021,1,-34.945,138.531,-27.570,153.008
Adelaide-Brisbane,Adelaide,Brisbane,Qantas,Jan-21,100.0,93,7.0,85.0,84.0,8.0,9.0,37695,391,58.5,1622,61141290,104518436,64438,2021,1,-34.945,138.531,-27.570,153.008
Adelaide-Brisbane,Adelaide,Brisbane,Virgin Australia,Jan-21,74.0,66,8.0,55.0,61.0,11.0,5.0,37695,391,58.5,1622,61141290,104518436,64438,2021,1,-34.945,138.531,-27.570,153.008
Adelaide-Brisbane,Adelaide,Brisbane,All Airlines,Jan-21,204.0,189,15.0,168.0,174.0,21.0,15.0,37695,391,58.5,1622,61141290,104518436,64438,2021,1,-34.945,138.531,-27.570,153.008
Adelaide-Melbourne,Adelaide,Melbourne,Jetstar,Jan-21,84.0,83,1.0,72.0,76.0,11.0,7.0,71642,658,70.1,643,46065806,65732604,102228,2021,1,-34.945,138.531,-38.039,144.469
Adelaide-Melbourne,Adelaide,Melbourne,Qantas,Jan-21,99.0,99,0.0,95.0,95.0,4.0,4.0,71642,658,70.1,643,46065806,65732604,102228,2021,1,-34.945,138.531,-38.039,144.469
Adelaide-Melbourne,Adelaide,Melbourne,Virgin Australia,Jan-21,106.0,105,1.0,94.0,99.0,11.0,6.0,71642,658,70.1,643,46065806,65732604,102228,2021,1,-34.945,138.531,-38.039,144.469
Adelaide-Melbourne,Adelaide,Melbourne,All Airlines,Jan-21,289.0,287,2.0,261.0,270.0,26.0,17.0,71642,658,70.1,643,46065806,65732604,102228,2021,1,-34.945,138.531,-38.039,144.469
Adelaide-Perth,Adelaide,Perth,Jetstar,Jan-21,22.0,22,0.0,20.0,21.0,2.0,1.0,26597,248,68.6,2120,56385640,82219960,38783,2021,1,-34.945,138.531,-31.961,115.868
Adelaide-Perth,Adelaide,Perth,Qantas,Jan-21,57.0,57,0.0,42.0,45.0,15.0,12.0,26597,248,68.6,2120,56385640,82219960,38783,2021,1,-34.945,138.531,-31.961,115.868
Adelaide-Perth,Adelaide,Perth,Virgin Australia,Jan-21,31.0,31,0.0,24.0,27.0,7.0,4.0,26597,248,68.6,2120,56385640,82219960,38783,2021,1,-34.945,138.531,-31.961,115.868
Adelaide-Perth,Adelaide,Perth,All Airlines,Jan-21,110.0,110,0.0,86.0,93.0,24.0,17.0,26597,248,68.6,2120,56385640,82219960,38783,2021,1,-34.945,138.531,-31.961,115.868
Adelaide-Sydney,Adelaide,Sydney,Jetstar,Jan-21,40.0,21,19.0,19.0,20.0,2.0,1.0,9051,196,33.2,1167,10562517,31810086,27258,2021,1,-34.945,138.531,-33.924,150.988
Adelaide-Sydney,Adelaide,Sydney,Qantas,Jan-21,47.0,42,5.0,38.0,39.0,4.0,3.0,9051,196,33.2,1167,10562517,31810086,27258,2021,1,-34.945,138.531,-33.924,150.988
Adelaide-Sydney,Adelaide,Sydney,Virgin Australia,Jan-21,18.0,15,3.0,15.0,15.0,0.0,0.0,9051,196,33.2,1167,10562517,31810086,27258,2021,1,-34.945,138.531,-33.924,150.988
Adelaide-Sydney,Adelaide,Sydney,All Airlines,Jan-21,105.0,78,27.0,72.0,74.0,6.0,4.0,9051,196,33.2,1167,10562517,31810086,27258,2021,1,-34.945,138.531,-33.924,150.988
Ballina-Sydney,Ballina,Sydney,Jetstar,Jan-21,101.0,100,1.0,96.0,97.0,4.0,3.0,54235,468,72.6,612,33191820,45696816,74668,2021,1,-28.834,153.562,-33.924,150.988
Ballina-Sydney,Ballina,Sydney,Qantas,Jan-21,42.0,42,0.0,40.0,41.0,2.0,1.0,54235,468,72.6,612,33191820,45696816,74668,2021,1,-28.834,153.562,-33.924,150.988
Ballina-Sydney,Ballina,Sydney,QantasLink,Jan-21,34.0,32,2.0,25.0,26.0,7.0,6.0,54235,468,72.6,612,33191820,45696816,74668,2021,1,-28.834,153.562,-33.924,150.988
Ballina-Sydney,Ballina,Sydney,Regional Express,Jan-21,8.0,8,0.0,7.0,7.0,1.0,1.0,54235,468,72.6,612,33191820,45696816,74668,2021,1,-28.834,153.562,-33.924,150.988
Ballina-Sydney,Ballina,Sydney,Virgin Australia,Jan-21,52.0,52,0.0,43.0,52.0,9.0,0.0,54235,468,72.6,612,33191820,45696816,74668,2021,1,-28.834,153.562,-33.924,150.988
Ballina-Sydney,Ballina,Sydney,All Airlines,Jan-21,237.0,234,3.0,211.0,223.0,23.0,11.0,54235,468,72.6,612,33191820,45696816,74668,2021,1,-28.834,153.562,-33.924,150.988
Brisbane-Cairns,Brisbane,Cairns,Jetstar,Jan-21,103.0,94,9.0,72.0,73.0,22.0,21.0,73882,707,65.0,1391,102769862,158002299,113589,2021,1,-27.570,153.008,-16.886,145.755
Brisbane-Cairns,Brisbane,Cairns,Qantas,Jan-21,120.0,117,3.0,110.0,107.0,7.0,10.0,73882,707,65.0,1391,102769862,158002299,113589,2021,1,-27.570,153.008,-16.886,145.755
Brisbane-Cairns,Brisbane,Cairns,QantasLink,Jan-21,5.0,5,0.0,5.0,4.0,0.0,1.0,73882,707,65.0,1391,102769862,158002299,113589,2021,1,-27.570,153.008,-16.886,145.755
Brisbane-Cairns,Brisbane,Cairns,Virgin Australia,Jan-21,110.0,105,5.0,81.0,80.0,24.0,25.0,73882,707,65.0,1391,102769862,158002299,113589,2021,1,-27.570,153.008,-16.886,145.755
